Word
de 14459520
que 14421005
no 12379505
a 9549646
la 9125471
el 7531226
y 7128745
es 6993497
en 6817324
lo 6041793
un 5605577
por 4454673
qué 4166708
me 3927712
una 3846322
los 3069193
se 3058120
te 3034375
con 3028045
para 2832100
está 2433246
mi 2403204
pero 2369484
sí 2350514
si 2348665
bien 2045290
eso 2029720
su 2005512
las 2001203
yo 1915934
del 1647872
como 1630651
aquí 1625090
tu 1618746
al 1549489
más 1503527
le 1432173
esto 1297847
todo 1296897
ya 1115265
estoy 1092574
ahora 1088174
muy 1086248
ha 1071928
esta 1051900
así 1050332
vamos 1049315
algo 1039192
hay 1014288
bueno 1012700
tengo 954371
él 931487
cuando 931329
estás 917354
sé 911639
tú 906053
nos 866968
nada 863844
cómo 862349
este 858931
o 843972
he 820376
ser 819688
tiene 807065
puedo 806048
ella 800671
quiero 798831
hacer 794408
fue 781449
gracias 779503
vez 767227
era 765725
soy 745166
sólo 741588
todos 686692
porque 685059
son 671394
tienes 670767
creo 651433
voy 639418
sabes 636739
estaba 636659
puede 631326
eres 630024
ese 624205
usted 618844
entonces 609938
hola 601523
solo 590343
verdad 589565
casa 587832
tan 573916
quién 566465
sus 562087
tiempo 556996
dos 556427
esa 553442
nunca 549997
dónde 539643
va 535397
